title,description,link
Is Israel using food deprivation as a war tactic?,Israel's assault on Gaza has left hundreds of thousands of Palestinian residents facing catastrophic food insecurity.,https://www.aljazeera.com/program/inside-story/2024/1/24/is-israel-using-food-deprivation-as-a-war-tactic?traffic_source=rss
UNRWA facility under Israeli attack in Khan Younis,"UNRWA tells Al Jazeera hundreds of people sheltering at its facility have come under Israeli fire 

  ",https://www.aljazeera.com/program/newsfeed/2024/1/24/unrwa-facility-under-israeli-attack-in-khan-younis?traffic_source=rss
"Turkey, Iran agree on need for regional stability amid Israel’s war on Gaza",Gaza war topped the agenda as Turkey's Recep Tayyip Erdogan and Iran's Ebrahim Raisi met in Ankara.,https://www.aljazeera.com/news/2024/1/24/turkey-iran-agree-on-need-for-regional-stability-amid-israels-war-on-gaza?traffic_source=rss
Will a US court order Biden to stop ‘complicity’ in Gaza genocide?,Lawsuit asks court to order President Joe Biden to end US assistance to Israel that enables alleged genocide in Gaza.,https://www.aljazeera.com/news/2024/1/24/will-a-us-court-order-biden-to-stop-complicity-in-gaza-genocide?traffic_source=rss
ICJ to decide on emergency measures in Israel-Gaza genocide case this week,The World Court will decide whether to order emergency measures relating to Israel's military action in Gaza.,https://www.aljazeera.com/news/2024/1/24/icj-to-decide-on-emergency-measures-in-israel-gaza-genocide-case-this-week?traffic_source=rss
Hundreds flee further south as Israeli forces advance in Khan Younis,The southern city was deemed 'safe' for hundreds of thousands of Palestinians who fled north and central Gaza.,https://www.aljazeera.com/gallery/2024/1/24/hundreds-flee-further-south-as-israeli-forces-advance-in-khan-younis?traffic_source=rss
Several killed in Israeli attack on UN shelter housing 800 in southern Gaza,UNRWA official fears 'mass casualties' after Israeli tank shelling on one of its facilities in Khan Younis.,https://www.aljazeera.com/news/2024/1/24/several-killed-in-israeli-attack-on-un-shelter-housing-800-in-southern-gaza?traffic_source=rss
Humanitarian aid for Gaza blocked by protests,A crowd of Israelis gathered to stop aid trucks from entering Gaza at the Karam Abu Salem border crossing.,https://www.aljazeera.com/program/newsfeed/2024/1/24/humanitarian-aid-for-gaza-blocked-by-protests?traffic_source=rss
People run for their lives from Khan Younis in Gaza,Palestinians are fleeing Khan Younis in south Gaza where Israeli forces say they have encircled the city.,https://www.aljazeera.com/program/newsfeed/2024/1/24/people-run-for-their-lives-from-khan-younis-in-gaza?traffic_source=rss
How Israel has destroyed Gaza’s schools and universities,All schools in Gaza have been shut and no university has survived Israel military's more than 100 days of onslaught.,https://www.aljazeera.com/news/2024/1/24/how-israel-has-destroyed-gazas-schools-and-universities?traffic_source=rss
